artsid;artsnavn;klassifikation
10135;Skærpiber;Alm
10140;Bjergpiber;SUB
10144;Bjergpiber/Skærpiber;Alm
10159;Piber sp.;Alm
10170;Gul Vipstjert;Alm
10171;Gul Vipstjert (ssp. flava);Alm
10172;Gul Vipstjert, Gulhovedet (ssp. flavissima);SUB
10173;Gul Vipstjert, Nordlig (ssp. thunbergi);Alm
10174;Gul Vipstjert, Sorthovedet (ssp. feldegg);SU
10179;Gul Vipstjert, Almindelig x Gulhovedet (hybrid);Alm
10180;Citronvipstjert;SUB
10181;Citronvipstjert x Gul Vipstjert (hybrid);Alm
10190;Bjergvipstjert;Alm
10200;Hvid Vipstjert;Alm
10201;Hvid Vipstjert (ssp. alba);Alm
10202;Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii);SUB
10239;Vipstjert sp.;Alm
10480;Silkehale;Alm
10500;Vandstær;Alm
10660;Gærdesmutte;Alm
10669;Gærdesmutte, Nordatlantisk (fridariensis/hirtensis/borealis);SU
10840;Jernspurv;Alm
10860;Sibirisk Jernspurv;SU
10900;Sortstrubet Jernspurv;SU
10940;Alpejernspurv;SU
10990;Rødhals;Alm
11020;Manchurernattergal;SU
11030;Nattergal;Alm
11039;Nattergal/Sydlig Nattergal;Alm
11040;Sydlig Nattergal;SUB
11050;Rubinnattergal;SU
11060;Blåhals;Alm
11061;Blåhals, Nordlig (ssp. svecica);SUB
11062;Blåhals, Sydlig (ssp. cyanecula);Alm
11130;Blåstjert;SU
11210;Husrødstjert;Alm
11215;Husrødstjert, Tien-Shan (ssp. phoenicuroides);SU
11220;Rødstjert;Alm
11370;Bynkefugl;Alm
11390;Sortstrubet Bynkefugl;Alm
11391;Sortstrubet Bynkefugl, Europæisk (ssp. rubicola);Alm
11392;Sibirisk Bynkefugl, Bjergbynkefugl (ssp. stejnegeri);SU
11393;Sortstrubet Bynkefugl, Atlantisk (ssp. hibernans);Alm
11394;Sibirisk Bynkefugl (ssp. maurus);SU
11396;Sibirisk Bynkefugl, Steppebynkefugl (ssp. variegatus);SU
11397;Sibirisk Bynkefugl, Kaukasusbynkefugl (ssp. hemprichii);SU
11399;Sibirisk Bynkefugl;SU
11440;Isabellastenpikker;SU
11460;Stenpikker;Alm
11461;Stenpikker (ssp. oenanthe);Alm
11462;Stenpikker, Grønlandsk (ssp. leucorhoa);Alm
11470;Nonnestenpikker;SU
11480;Vestlig Middelhavsstenpikker/Østlig Middelhavsstenpikker;Alm
11481;Vestlig Middelhavsstenpikker;SU
11482;Østlig Middelhavsstenpikker;SU
11490;Ørkenstenpikker;SU
11570;Hvidkronet Stenpikker;SU
11620;Stendrossel;SU
11700;Gulddrossel;SU
11760;Eremitdrossel;SU
11770;Olivenskovdrossel;SU
11860;Ringdrossel;Alm
11870;Solsort;Alm
11950;Gråstrubet Drossel;SU
11962;Brundrossel;SU
11972;Sortstrubet Drossel;SU
11980;Sjagger;Alm
11989;Sjagger x Solsort (hybrid);Alm
12000;Sangdrossel;Alm
12009;Sangdrossel/Vindrossel;Alm
