artsid;artsnavn;content
14791;Spætmejse, Lysbuget (ssp. europaea);0
14793;Spætmejse, Mørkbuget (ssp. caesia);0
09019;Spætte sp.;0
02090;Stellersand;1
11620;Stendrossel;0
11460;Stenpikker;1
11462;Stenpikker, Grønlandsk (ssp. leucorhoa);0
11461;Stenpikker (ssp. oenanthe);0
05610;Stenvender;1
02620;Steppehøg;1
02629;Steppehøg/Hedehøg;0
06630;Steppehøne;0
04910;Steppevibe;0
02945;Steppeørn;0
00033;Stillehavslom;0
16530;Stillits;1
03189;Storfalk sp.;0
05690;Storkjove;1
04419;Stork/Trane sp.;0
01359;Stork sp.;0
05900;Stormmåge;1
05902;Stormmåge, Russisk (ssp. heinei);0
05901;Stormmåge (ssp. canus);0
00639;Stormsvale sp.;0
10020;Storpiber;1
00400;Storskråpe;0
05410;Storspove;1
04460;Stortrappe;0
07135;[Stor Alexanderparakit];0
08760;Stor Flagspætte;1
08761;Stor Flagspætte, Nordlig (ssp. major);0
08764;Stor Flagspætte, Sydlig (ssp. pinetorum);0
08769;Stor Flagspætte x Hvidrygget Flagspætte (hybrid);0
01472;[Stor Flamingo];0
01470;Stor Flamingo/Cariberflamingo;0
12390;Stor Græshoppesanger;0
05500;Stor Gulben;0
07440;Stor Hornugle;1
05320;Stor Kobbersneppe;1
05322;Stor Kobbersneppe, Islandsk (ssp. islandica);0
05321;Stor Kobbersneppe (ssp. limosa);0
16680;Stor Korsnæb;1
04700;Stor Præstekrave;1
04701;Stor Præstekrave (ssp. hiaticula);0
04702;Stor Præstekrave, Tundra (ssp. tundrae);0
02230;Stor Skallesluger;1
02930;Stor Skrigeørn;1
05730;Stor Sorthovedet Måge;0
00550;Stor Stormsvale;1
15200;Stor Tornskade;1
15195;Stor Tornskade, Ørkentornskade (ssp. pallidirostris);0
04860;Strandhjejle;1
04500;Strandskade;1
12350;Stribet Græshoppesanger;0
05070;Stribet Ryle;1
17530;Stribet Sanger;0
04550;Stylteløber;1
15820;Stær;1
00710;Sule;1
04270;[Sultanhøne];0
14400;Sumpmejse;1
14409;Sumpmejse/Fyrremejse;0
04920;Sumpvibe;0
05530;Svaleklire;1
10019;Svale sp.;0
01560;[Svanegås];0
01569;Svanegås x Grågås (hybrid);0
01559;Svane sp.;0
06000;Svartbag;1
01949;Svømmeand sp.;0
11040;Sydlig Nattergal;1
06470;Søkonge;1
01210;Sølvhejre;1
05920;Sølvmåge;1
05928;Sølvmåge, Britisk (ssp. argenteus);0
05921;Sølvmåge, Skandinavisk (ssp. argentatus);0
05999;Sølvmåge x Gråmåge (hybrid);0
05935;Sølvmåge x Kaspisk Måge (hybrid);0
05918;Sølvmåge x Sildemåge (hybrid);0
06950;Sørgedue;0
01980;Taffeland;1
01989;Taffeland x Troldand (hybrid);0
13432;Tajgafluesnapper;0
10080;Tajgapiber;0
01571;Tajgasædgås;1
01570;Tajgasædgås/Tundrasædgås;0
06380;Tejst;1
06386;Tejst, Arktisk (ssp. mandtii);0
06385;Tejst, Atlantisk (ssp. arcticus);0
06381;Tejst, Baltisk (ssp. grylle);0
05020;Temmincksryle;1
05550;Terekklire;1
06259;Terne sp.;0
05650;Thorshane;1
04780;Tibetansk Præstekrave;0
05540;Tinksmed;1
03350;[Tjur];0
01080;Tophejre;0
02320;Tophvepsevåge;0
09720;Toplærke;1
14540;Topmejse;1
00090;Toppet Lappedykker;1
00099;Toppet Lappedykker/Gråstrubet Lappedykker;0
02210;Toppet Skallesluger;1
02218;Toppet Skallesluger/Stor Skallesluger;0
00800;Topskarv;1
07920;Tornhalesejler;0
16600;Tornirisk;1
16609;Tornirisk/Bjergirisk;0
12750;Tornsanger;1
15249;Tornskade sp.;0
04330;Trane;1
04409;Trane sp.;0
04385;Trane x Japansk Trane (hybrid);0
05200;Tredækker;1
08980;Tretået Spætte;0
04590;Triel;1
02030;Troldand;1
02038;Troldand/Bjergand;0
02039;Troldand x Bjergand (hybrid);0
00490;Tropeskråpe;0
14860;Træløber;1
14869;Træløber/Korttået Træløber;0
14861;Træløber, Nordlig (ssp. familiaris);0
14863;Træløber, Sydlig (ssp. macrodactyla);0
01574;Tundrasædgås;1
15140;Turkestantornskade;0
06870;Turteldue;1
04980;Tyknæbbet Dværgryle;0
05850;Tyndnæbbet Måge;0
06840;Tyrkerdue;1
03040;Tårnfalk;1
07719;Ugle sp.;0
40000;[Undulat];0
03320;Urfugl;1
05659;Vader sp., Lille;0
05658;Vader sp., Stor;0
03700;Vagtel;1
12030;Vandredrossel;0
03200;Vandrefalk;1
03205;Vandrefalk, Sibirisk (ssp. calidus);0
04070;Vandrikse;1
12420;Vandsanger;1
10500;Vandstær;1
08480;Vendehals;1
11481;Vestlig Middelhavsstenpikker;0
11480;Vestlig Middelhavsstenpikker/Østlig Middelhavsstenpikker;0
04930;Vibe;1
12010;Vindrossel;1
12012;Vindrossel, Islandsk (ssp. coburni);0
10239;Vipstjert sp.;0
18819;Værling sp.;0
02919;Våge sp.;0
00500;Wilsons Stormsvale;0
16760;Ørkendompap;0
16740;[Ørkenfinke];0
04640;Ørkenløber;0
07810;Ørkennatravn;0
04790;Ørkenpræstekrave;0
11490;Ørkenstenpikker;0
04795;Ørken-/Tibetansk/Sibirisk Præstekrave;0
02880;Ørnevåge;0
02979;Ørn sp.;0
09620;Østlig Kalanderlærke;0
04445;Østlig Kravetrappe;0
12920;Østlig Lundsanger;0
11482;Østlig Middelhavsstenpikker;0
06890;Østlig Turteldue;0
02470;Ådselgrib;0
