Artsid,Artsnavn,Latin,Kategori
05999,Sølvmåge x Gråmåge (hybrid),Larus argentatus x L. hyperboreus,Alm
06000,Svartbag,Larus marinus,Alm
06010,Rosenmåge,Rhodostethia rosea,SU
06020,Ride,Rissa tridactyla,Alm
06040,Ismåge,Pagophila eburnea,SU
06049,Måge sp.,Larini,Alm
06050,Sandterne,Gelochelidon nilotica,SUB
06060,Rovterne,Hydroprogne caspia,Alm
06110,Splitterne,Thalasseus sandvicensis,Alm
06120,Aztekerterne,Thalasseus elegans,SU
06140,Rosenterne,Sterna dougallii,SU
06150,Fjordterne,Sterna hirundo,Alm
06159,Fjordterne/Havterne,Sterna hirundo/S. paradisaea,Alm
06160,Havterne,Sterna paradisaea,Alm
06220,Brilleterne,Onychoprion anaethetus,SU
06240,Dværgterne,Sternula albifrons,Alm
06259,Terne sp.,Sterna/Clidonias/etc sp.,Alm
06260,Hvidskægget Terne,Chlidonias hybrida,SU
06270,Sortterne,Chlidonias niger,Alm
06280,Hvidvinget Terne,Chlidonias leucopterus,SUB
06289,Moseterne sp.,Chlidonias sp.,Alm
06340,Lomvie,Uria aalge,Alm
06341,Lomvie, Nordlig (ssp. aalge),Uria aalge aalge,Alm
06342,Lomvie, Britisk (ssp. albionis),Uria aalge albionis,Alm
06350,Polarlomvie,Uria lomvia,SU
06360,Alk,Alca torda,Alm
06361,Alk, Nordlig (ssp. torda),Alca torda torda,Alm
06362,Alk, Atlantisk (ssp. islandica),Alca torda islandica,Alm
06369,Lomvie/Alk,Uria aalge/Alca torda,Alm
06380,Tejst,Cepphus grylle,Alm
06381,Tejst, Baltisk (ssp. grylle),Cepphus grylle grylle,Alm
06385,Tejst, Atlantisk (ssp. arcticus),Cepphus grylle arcticus,Alm
06386,Tejst, Arktisk (ssp. mandtii),Cepphus grylle mandtii,SU
06470,Søkonge,Alle alle,SUB
06540,Lunde,Fratercula arctica,SUB
06569,Alkefugl sp.,Alcinae,Alm
06630,Steppehøne,Syrrhaptes paradoxus,SU
06650,Klippedue (tamdue),Columba livia,Alm
06680,Huldue,Columba oenas,Alm
06700,Ringdue,Columba palumbus,Alm
06840,Tyrkerdue,Streptopelia decaocto,Alm
06870,Turteldue,Streptopelia turtur,SUB
06890,Østlig Turteldue,Streptopelia orientalis,SU
06950,Sørgedue,Zenaida macroura,SU
07069,Due sp.,Columbidae,Alm
07085,Munkeparakit,Myiopsitta monachus,Alm
07087,Soldaterara,Ara militaris,Alm
07120,Alexanderparakit,Psittacula krameri,Alm
07135,Stor Alexanderparakit,Psittacula eupatria,Alm
07149,Papegøje sp.,Psittacidae,Alm
07160,Skadegøg,Clamator glandarius,SU
07240,Gøg,Cuculus canorus,Alm
07350,Slørugle,Tyto alba,Alm
07351,Slørugle, Hvidbrystet (ssp. alba),Tyto alba alba,SU
07352,Slørugle, Mørkbrystet (ssp. guttata),Tyto alba guttata,Alm
07390,Dværghornugle,Otus scops,SU
07440,Stor Hornugle,Bubo bubo,Alm
07490,Sneugle,Bubo scandiacus,SU
07500,Høgeugle,Surnia ulula,SU
07510,Spurveugle,Glaucidium passerinum,SU
07570,Kirkeugle,Athene noctua,SUB
07610,Natugle,Strix aluco,Alm
07670,Skovhornugle,Asio otus,Alm
07679,Skovhornugle/Mosehornugle,Asio otus/A. flammeus,Alm
07680,Mosehornugle,Asio flammeus,Alm
